Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering
7227.FBpp0086283,0.0007954043305346885,0.00013183950511890845,2.186921944154381e-05,0.34237247470196275,0.6388888888888888
7227.FBpp0073691,0.005832965090587715,0.0006149117763214035,3.8645712087261966e-05,0.3646150023889703,0.3034965034965035
7227.FBpp0080701,0.009721608484312859,0.0021878325973622003,1.5480996363919702e-05,0.38822117109618387,0.41934945788156797
7227.FBpp0292305,0.011577551922227132,0.005150765785795003,2.199917317704703e-05,0.40609561745787154,0.5405754550792718
7227.FBpp0073588,0.0025629695095006626,0.0008181945004662664,1.20042745573697e-06,0.3655535376334631,0.35714285714285715
7227.FBpp0083976,0.06619531595227574,0.019493631691754824,0.0009070503794186105,0.4633736834424507,0.2075137616643939
7227.FBpp0077250,0.00035351303579319487,8.223058197378675e-06,1.3385964995756596e-06,0.2897895808732692,0.0
7227.FBpp0070025,0.015289438798055678,0.0020020633603776497,0.0011275323378731386,0.4029162730654917,0.21004167226777792
7227.FBpp0112070,0.004242156429518338,0.0012410435202088797,4.322617239455023e-06,0.3703685337220592,0.49556737588652483
7227.FBpp0112147,0.047812638091029605,0.013780463339063197,0.0001952521877686778,0.4388158025387655,0.3001574587526528
7227.FBpp0077924,8.837825894829872e-05,1.6240689878162504e-06,0.0,0.2702120333214985,0.0
7227.FBpp0079354,0.0026513477684489617,0.000484448540343101,3.5290950274009533e-06,0.35741330434879315,0.2827586206896552
7227.FBpp0086812,0.09845338046840477,0.03517190506195331,0.0012723850627194247,0.4819866659581827,0.18215765693832156
7227.FBpp0301729,0.012638091029606717,0.0024410265781009913,6.029801076227734e-05,0.4071715040832045,0.13424603565448637
7227.FBpp0073040,0.0004418912947414936,2.5337134370733034e-05,6.51261874700359e-08,0.3110569929995735,0.3
7227.FBpp0305612,0.018824569155987625,0.006193318653032572,3.963415462512707e-05,0.42543717050959834,0.3241208255824254
7227.FBpp0073197,0.0005302695536897922,0.00012725165371132543,6.152837031496793e-08,0.3324799556516304,0.6
7227.FBpp0087135,0.14299602297834732,0.04848900208137968,0.0024955165323506936,0.5022474538234676,0.15339031443569673
7227.FBpp0071050,0.053380468404772424,0.01364110665114263,0.00017111901423337426,0.44007231597664614,0.3368532612873821
7227.FBpp0082497,8.837825894829872e-05,4.038309321104025e-34,0.0,8.837825894829872e-05,0.0
7227.FBpp0293395,0.07034909412284578,0.02244163769134915,0.0006322012321668895,0.46587507779705245,0.23110521159255396
7227.FBpp0290604,0.0026513477684489617,0.0010207553499761927,1.3355573995811566e-06,0.3705520237641978,0.32873563218390806
7227.FBpp0292214,0.03641184268669907,0.014151662875947699,0.0005719513160551378,0.44385028379588626,0.2794982637658564
7227.FBpp0072425,0.007070260715863898,0.0014736391362648437,7.879346458517166e-06,0.3714722079169796,0.5528481012658227
7227.FBpp0078034,0.04242156429518339,0.007666350000750825,0.00019391404153314693,0.42975575053660525,0.11820633263743911
7227.FBpp0071543,0.02545293857711003,0.008251752592479704,0.00019893260427597347,0.4171327938544251,0.3025309717382888
