Orthogroup	Saccharomyces_cerevisiae.R64-1-1.pep.all	Schistossoma
OG0000240	YBR046C, YNL134C, YCR102C, YLR460C	6183.Smp_159230.1
OG0000241	YGL059W, YIL042C	6183.Smp_068170.1, 6183.Smp_140580.1, 6183.Smp_070390.1
OG0000242	YDR441C, YML022W	6183.Smp_151260.1, 6183.Smp_054360.1, 6183.Smp_054410.1
OG0000244	YOL112W, YNL293W	6183.Smp_145170.1, 6183.Smp_165040.1, 6183.Smp_160470.1
OG0000245	YBR220C, YBR219C	6183.Smp_076950.1, 6183.Smp_159740.1, 6183.Smp_159760.1
OG0000246	YJL005W	6183.Smp_113460.1, 6183.Smp_186540.1, 6183.Smp_112590.1, 6183.Smp_186530.1
OG0000247	YMR223W	6183.Smp_139020.1, 6183.Smp_074400.1
OG0000247	YDL122W	6183.Smp_173820.1
OG0000248	YIL078W	6183.Smp_163830.1, 6183.Smp_123980.1, 6183.Smp_055850.1, 6183.Smp_123990.1
OG0000249	YIR027C	6183.Smp_085110.2, 6183.Smp_078780.1, 6183.Smp_092460.1, 6183.Smp_196810.1
OG0000250	YGR070W, YLR371W	6183.Smp_155990.1, 6183.Smp_012580.1, 6183.Smp_176920.1
OG0000251	YKR034W	6183.Smp_175500.1, 6183.Smp_080030.1, 6183.Smp_018590.1, 6183.Smp_159560.1
OG0000289	YLL050C	6183.Smp_120700.1, 6183.Smp_086590.1, 6183.Smp_195080.1
OG0000293	YDL206W	6183.Smp_135890.1, 6183.Smp_125970.1, 6183.Smp_149930.1
OG0000295	YDR272W, YOR040W	6183.Smp_091010.1, 6183.Smp_165640.1
OG0000297	YDR320C, YCR060W	6183.Smp_151350.1, 6183.Smp_165540.1
OG0000299	YDR105C	6183.Smp_207060.1, 6183.Smp_164160.1, 6183.Smp_145090.1
OG0000301	YPR189W, YNL121C, YHR117W	6183.Smp_072970.1
OG0000302	YBR294W, YLR092W	6183.Smp_022300.1, 6183.Smp_145320.1
OG0000303	YMR308C	6183.Smp_032510.1
OG0000303	YER110C	6183.Smp_033760.2
OG0000305	YJL137C, YKR058W	6183.Smp_157950.1, 6183.Smp_008490.1
OG0000306	YDR002W, YLR335W, YIL063C	6183.Smp_016410.1
OG0000307	YHR050W, YLR034C, YOL122C	6183.Smp_099850.3
OG0000308	YLR380W, YMR079W, YKL091C	6183.Smp_159400.1
OG0000310	YLR448W, YML073C	6183.Smp_010660.1, 6183.Smp_038510.1
OG0000311	YOR297C, YDR178W, YLR164W	6183.Smp_037910.1
OG0000312	YGL147C, YNL067W, YHR147C	6183.Smp_018990.1
OG0000313	YOR317W, YMR246W, YIL009W	6183.Smp_103160.2
OG0000314	YDL209C, YHR086W, YBR212W	6183.Smp_064640.1
OG0000318	YLR055C	6183.Smp_210840.1
OG0000318	YKL018W	6183.Smp_151180.1
OG0000321	YLL052C, YPR192W, YLL053C	6183.Smp_128110.1
OG0000322	YBR084W, YGR204W, YKR080W	6183.Smp_147650.1
OG0000324	YMR321C, YPL273W, YLL062C	6183.Smp_210320.1
OG0000325	YGR201C, YKL081W, YPL048W	6183.Smp_083410.1
OG0000326	YHR016C, YFR024C-A	6183.Smp_122030.1, 6183.Smp_036990.1
OG0000327	YDR111C, YLR089C	6183.Smp_007760.1, 6183.Smp_130540.1
OG0000328	YMR056C, YBR085W, YBL030C	6183.Smp_079220.1
OG0000329	YOR069W	6183.Smp_042550.1
OG0000329	YKR078W	6183.Smp_003140.1
OG0000330	YFR014C, YOL016C	6183.Smp_153170.1, 6183.Smp_065290.1
OG0000331	YCR083W, YLR043C, YGR209C	6183.Smp_008070.1
OG0000332	YGR238C, YHR158C, YPL263C	6183.Smp_025700.1
OG0000333	YDR515W, YCL037C	6183.Smp_101820.1, 6183.Smp_122800.1
OG0000334	YIL114C, YNL055C	6183.Smp_091240.1, 6183.Smp_022990.1
OG0000335	YCR037C, YJL198W, YNR013C	6183.Smp_170080.1
OG0000338	YHR119W	6183.Smp_070170.1, 6183.Smp_138030.1, 6183.Smp_081440.1
OG0000339	YCL001W-A, YCL001W-B, YNL001W	6183.Smp_002960.1
OG0000342	YNL035C	6183.Smp_027750.1, 6183.Smp_150390.3, 6183.Smp_194110.1
OG0000343	YOR275C	6183.Smp_087620.1, 6183.Smp_087580.1, 6183.Smp_075810.1
OG0000347	YMR297W, YBR139W	6183.Smp_172590.1, 6183.Smp_163970.1
OG0000348	YML072C, YOR086C, YNL087W	6183.Smp_050640.1
OG0000349	YDL134C, YDL188C, YNL217W	6183.Smp_165490.1
OG0000351	YDL019C, YAR042W	6183.Smp_058980.2, 6183.Smp_128150.1
OG0000352	YJL130C	6183.Smp_186670.1
OG0000352	YLR126C	6183.Smp_113640.1
OG0000354	YGL227W	6183.Smp_161080.1, 6183.Smp_132050.1, 6183.Smp_142170.1
OG0000355	YNL305C	6183.Smp_210790.1, 6183.Smp_181470.1, 6183.Smp_150500.1
OG0000356	YKR024C	6183.Smp_057020.1, 6183.Smp_152770.1, 6183.Smp_152720.1
OG0000357	YER089C, YBL056W	6183.Smp_148510.1, 6183.Smp_020040.2
OG0000359	YOR057W	6183.Smp_020800.1, 6183.Smp_168350.1, 6183.Smp_010160.1
OG0000361	YDR258C, YLL026W	6183.Smp_046190.1, 6183.Smp_145990.1
OG0000362	YOR239W	6183.Smp_042630.1, 6183.Smp_061500.1, 6183.Smp_037930.1
OG0000363	YBL103C, YOL067C	6183.Smp_160710.1, 6183.Smp_161250.1
OG0000364	YLR193C, YLR168C, YDR185C	6183.Smp_059100.1
OG0000365	YHR075C	6183.Smp_175460.1, 6183.Smp_211030.1, 6183.Smp_146390.1
OG0000368	YEL056W, YLR196W	6183.Smp_212260.1, 6183.Smp_068950.1
OG0000371	YMR192W, YPL249C	6183.Smp_070310.1, 6183.Smp_007210.1
OG0000372	YMR020W	6183.Smp_150560.1, 6183.Smp_162940.1, 6183.Smp_160810.1
OG0000373	YDR453C, YML028W	6183.Smp_059480.1, 6183.Smp_062900.1
OG0000374	YOR156C, YDR409W	6183.Smp_172130.1, 6183.Smp_153010.1
OG0000375	YMR189W	6183.Smp_128690.1, 6183.Smp_132080.1, 6183.Smp_171870.1
OG0000376	YOR134W, YDR389W	6183.Smp_151960.1, 6183.Smp_021590.1
OG0000377	YKL008C, YHL003C	6183.Smp_122050.1, 6183.Smp_042440.1
OG0000378	YNL189W	6183.Smp_168490.1, 6183.Smp_174910.1, 6183.Smp_051210.1
OG0000379	YJR125C	6183.Smp_031100.1
OG0000379	YDR153C	6183.Smp_202480.1
OG0000380	YGL063W, YPL212C	6183.Smp_086450.1, 6183.Smp_076550.1
OG0000381	YDR456W	6183.Smp_146750.1, 6183.Smp_146740.1, 6183.Smp_045680.1
OG0000382	YOL066C, YDL036C	6183.Smp_047860.1, 6183.Smp_084340.1
OG0000384	YLR389C	6183.Smp_128100.1, 6183.Smp_011100.1, 6183.Smp_146010.1
OG0000385	YML096W, YGR124W, YPR145W	6183.Smp_133540.1
OG0000386	YPR028W	6183.Smp_027040.1, 6183.Smp_099890.1, 6183.Smp_010370.1
OG0000387	YOR261C	6183.Smp_078320.1, 6183.Smp_126690.1, 6183.Smp_026630.1
OG0000388	YMR239C	6183.Smp_142510.2, 6183.Smp_033600.1, 6183.Smp_169750.1
OG0000389	YDR364C	6183.Smp_074370.1
OG0000389	YOL087C	6183.Smp_080320.1
OG0000390	YLR277C	6183.Smp_084380.1
OG0000390	YOR179C	6183.Smp_211110.1
